@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2001',B,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Female,21,Serious
'Year 2001',C,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,33,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,79,Serious
'Year 2001',B,60,'Not a junction',Day,'no lighting',Snowing,Yes,'Driver or rider',Male,31,Serious
'Year 2001',A,30,Crossroads,Night,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2001',A,30,Crossroads,Night,'lights lit',Fine,No,'Driver or rider',Male,41.0,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,5,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Raining,No,Pedestrian,Male,11,Serious
'Year 2001',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,53,Serious
'Year 2001',B,30,'Not a junction',Night,'lights lit',Raining,No,Pedestrian,Male,62,Fatal
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,36,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,36,Serious
'Year 2001',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,35,Serious
'Year 2001',B,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,21,Serious
'Year 2001',A,30,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,50,Serious
'Year 2001',B,30,'T,Y or staggered road',Day,'lights lit',Raining,No,Pedestrian,Female,79,Serious
'Year 2001',C,30,'T,Y or staggered road',Day,'no lighting',Raining,No,Pedestrian,Male,11,Serious
'Year 2001',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,43,Serious
'Year 2001',A,30,'Multiple juncion',Night,'lights lit',Fine,No,Passenger,Female,43,Serious
'Year 2001',A,60,'Not a junction',Night,'no lighting',Fine,No,Pedestrian,Male,45,Serious
'Year 2001',Unclassified,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,30,Serious
'Year 2001',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,50,Serious
'Year 2001',C,60,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,15,Serious
'Year 2001',A,60,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,53,Serious
'Year 2001',A,30,Crossroads,Night,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2001',Unclassified,30,'Private drive or entrance',Day,'lights lit',Fine,No,'Driver or rider',Male,17,Serious
'Year 2001',A,30,'Multiple juncion',Day,'lights lit',Fine,No,Passenger,Female,51,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Raining,No,Pedestrian,Female,13,Serious
'Year 2001',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,31,Serious
'Year 2001',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,21,Serious
'Year 2001',B,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2001',A,60,'T,Y or staggered road',Night,'no lighting',Fine,No,'Driver or rider',Male,44,Fatal
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,31,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,25,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,34,Serious
'Year 2001',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,15,Serious
'Year 2001',B,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Male,17,Serious
'Year 2001',A,60,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,13,Serious
'Year 2001',A,60,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,38.0,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,17,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Raining,Yes,Pedestrian,Male,17,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,54,Serious
'Year 2001',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,Pedestrian,Male,75,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Raining,No,Pedestrian,Male,69,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,30,Serious
'Year 2001',A,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,43,Serious
'Year 2001',A,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2001',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,30,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,57,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Female,49,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,15,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2001',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,13,Serious
'Year 2001',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Male,2,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,5,Serious
'Year 2001',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,25,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,8,Serious
'Year 2001',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,'Driver or rider',Male,67,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Male,18,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,75,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,16,Serious
'Year 2001',Motorway,50,'Slip road',Day,'lights lit',Raining,No,'Driver or rider',Male,33,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,30,Fatal
'Year 2001',A,30,Crossroads,Night,'lights lit',Raining,No,Pedestrian,Male,60,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,27,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,28,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,28,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,42,Fatal
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,25,Serious
'Year 2001',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,73,Serious
'Year 2001',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Female,46,Serious
'Year 2001',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,31,Fatal
'Year 2001',A,40,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,34,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,11,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,9.0,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,53,Serious
'Year 2001',A,30,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Female,14,Serious
'Year 2001',C,30,'T,Y or staggered road',Day,'lights lit',Raining,Yes,'Driver or rider',Female,38.0,Serious
'Year 2001',C,30,'T,Y or staggered road',Day,'lights lit',Raining,Yes,Passenger,Female,35,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,86,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,13,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,28,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2001',A,40,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Female,25,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,25,Serious
'Year 2001',A,40,'Multiple juncion',Day,'no lighting',Fine,No,Passenger,Male,32,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Male,10,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,23,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,15,Serious
'Year 2001',C,40,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,26,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,Passenger,Male,40,Serious
'Year 2001',A,40,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,53,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,20.0,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,87,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,55,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Female,16,Serious
'Year 2001',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,11,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,10,Fatal
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,10,Serious
'Year 2001',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,Pedestrian,Male,34,Serious
'Year 2001',A,40,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,69,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,8,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,11,Serious
'Year 2001',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Female,92,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'no lighting',Raining,No,Pedestrian,Female,29,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,40,Serious
'Year 2001',A,30,Crossroads,Night,'lights lit',Raining,No,'Driver or rider',Female,41.0,Serious
'Year 2001',A,30,'Multiple juncion',Day,'lights lit',Fine,No,'Driver or rider',Male,33,Serious
'Year 2001',C,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Male,10,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,9.0,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'no lighting',Raining,No,'Driver or rider',Male,35,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,4,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Female,13,Serious
'Year 2001',A,40,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,38.0,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,9.0,Serious
'Year 2001',Unclassified,30,'Multiple juncion',Day,'no lighting',Fine,No,Pedestrian,Male,30,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Female,32,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,13,Serious
'Year 2001',B,30,'Not a junction',Day,'lights lit',Raining,No,Pedestrian,Female,11,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,25,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,53,Serious
'Year 2001',Unclassified,30,Other,Day,'lights lit',Fine,Yes,'Driver or rider',Male,16,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,14,Serious
'Year 2001',A,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Passenger,Male,17,Serious
'Year 2001',Unclassified,30,Crossroads,Night,'lights lit',Raining,No,Pedestrian,Female,55,Serious
'Year 2001',B,30,'T,Y or staggered road',Night,'lights lit',Other,Unknown,Pedestrian,Male,69,Fatal
'Year 2001',Motorway,50,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,46,Serious
'Year 2001',Motorway,50,'Not a junction',Night,'lights lit',Fine,No,Passenger,Female,44,Serious
'Year 2001',Motorway,30,'Slip road',Day,'lights lit',Fine,No,'Driver or rider',Male,44,Serious
'Year 2001',Motorway,50,'Not a junction',Night,'lights lit',Fine,No,Passenger,Female,18,Serious
'Year 2001',B,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Female,13,Serious
'Year 2001',Unclassified,50,Roundabout,Day,'lights lit',Fine,No,'Driver or rider',Female,49,Serious
'Year 2001',Motorway,50,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,49,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,17,Fatal
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Passenger,Male,16,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,32,Serious
'Year 2001',Unclassified,30,Other,Day,'lights lit',Fine,No,'Driver or rider',Male,59,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Female,70,Serious
'Year 2001',A,40,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,65,Serious
'Year 2001',A,40,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,65,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,27,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Raining,No,Pedestrian,Female,11,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Raining,No,'Driver or rider',Male,21,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,19,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,14,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,11,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,9.0,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,12,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,6,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,7,Serious
'Year 2001',A,40,Crossroads,Night,'lights lit',Raining,Yes,Pedestrian,Female,82,Serious
'Year 2001',Motorway,60,'Not a junction',Night,'lights lit',Raining,Yes,'Driver or rider',Male,26,Serious
'Year 2001',Motorway,60,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,13,Fatal
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,88,Fatal
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,25,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,6,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,44,Serious
'Year 2001',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,27,Serious
'Year 2001',A,30,Crossroads,Day,'lights lit',Fine,No,'Driver or rider',Male,35,Serious
'Year 2001',A,30,Crossroads,Night,'lights lit',Raining,No,'Driver or rider',Male,48,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Male,40,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Passenger,Male,18,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,81,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,11,Serious
'Year 2001',Unclassified,30,Roundabout,Night,'lights unlit',Fine,No,Passenger,Female,79,Serious
'Year 2001',A,30,'Not a junction',Night,'lights unlit',Fine,No,Pedestrian,Female,85,Serious
'Year 2001',A,30,Crossroads,Night,'lights lit',Fine,No,'Driver or rider',Male,25,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Unknown,Unknown,Pedestrian,Male,61.0,Serious
'Year 2001',Unclassified,30,Crossroads,Night,'lights lit',Fine,No,'Driver or rider',Female,34,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,27,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,52.0,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,25,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,Yes,Passenger,Male,7,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,Yes,'Driver or rider',Female,50,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,21,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Male,64,Serious
'Year 2001',A,40,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,39,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Raining,No,Pedestrian,Male,26,Serious
'Year 2001',A,30,Roundabout,Night,'lights lit',Fine,No,'Driver or rider',Female,32,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Raining,No,Pedestrian,Male,68,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,65,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,82,Fatal
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,39,Serious
'Year 2001',A,40,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,14,Serious
'Year 2001',A,40,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,35,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Raining,No,Pedestrian,Male,41.0,Serious
'Year 2001',B,30,Roundabout,Night,'lights lit',Other,Unknown,'Driver or rider',Male,39,Serious
'Year 2001',A,30,Roundabout,Day,'lights lit',Other,Unknown,Passenger,Female,58,Serious
'Year 2001',Motorway,30,'T,Y or staggered road',Night,'lights lit',Fine,No,Pedestrian,Male,62,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,Yes,Pedestrian,Male,12,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Male,52.0,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,27,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,8,Serious
'Year 2001',A,40,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,72,Serious
'Year 2001',A,40,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,37.0,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,22.0,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,17,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,7,Serious
'Year 2001',B,40,'Multiple juncion',Day,'lights lit',Fine,No,'Driver or rider',Female,63,Serious
'Year 2001',A,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,28,Serious
'Year 2001',A,40,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,60,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,30,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,73,Serious
'Year 2001',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,11,Serious
'Year 2001',Unclassified,30,Crossroads,Day,'lights lit',Fine,No,Passenger,Female,35,Serious
'Year 2001',A,70,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,18,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,64,Serious
'Year 2001',B,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Male,17,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Raining,No,Pedestrian,Female,34,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,15,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,80,Serious
'Year 2001',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,20.0,Serious
'Year 2001',B,40,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,75,Fatal
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,45,Serious
'Year 2001',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,63,Serious
'Year 2001',A,60,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,30,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,16,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Passenger,Male,17,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lights lit',Fine,No,Passenger,Male,16,Serious
'Year 2001',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,44,Serious
'Year 2001',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,60,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Female,9.0,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Male,40,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Male,69,Serious
'Year 2001',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,33,Serious
'Year 2001',B,30,'Not a junction',Night,'lights lit',Fine,No,Pedestrian,Female,19,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,52.0,Serious
'Year 2001',B,30,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,12,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Female,65,Serious
'Year 2001',Unclassified,30,Other,Day,'lights lit',Fine,No,Pedestrian,Male,72,Serious
'Year 2001',B,40,'Not a junction',Day,'lighting unknown',Raining,No,'Driver or rider',Male,19,Serious
'Year 2001',B,60,'Not a junction',Night,'no lighting',Other,Unknown,'Driver or rider',Male,55,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lighting unknown',Fine,No,'Driver or rider',Male,59,Serious
'Year 2001',B,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,30,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,30,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Night,'lights lit',Raining,No,'Driver or rider',Male,48,Serious
'Year 2001',B,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,23,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Raining,No,'Driver or rider',Male,32,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,78,Serious
'Year 2001',B,70,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,34,Serious
'Year 2001',Unclassified,30,'Not a junction',Night,'lighting unknown',Unknown,Unknown,Pedestrian,Female,7,Serious
'Year 2001',A,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Male,4,Serious
'Year 2001',B,40,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,21,Serious
'Year 2001',B,30,'T,Y or staggered road',Night,'lights lit',Fine,No,'Driver or rider',Male,38.0,Serious
'Year 2001',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,28,Serious
'Year 2001',A,30,'T,Y or staggered road',Day,'lights lit',Raining,No,Pedestrian,Male,5,Serious
'Year 2001',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,11,Serious
'Year 2001',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,22.0,Fatal
'Year 2001',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,22.0,Serious
'Year 2001',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,62,Serious
'Year 2001',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Female,71,Serious
'Year 2001',Unclassified,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Pedestrian,Male,12,Serious
