@relation 'Road Accident Data, nominal'
@attribute 'Accident Year'{'Year 2000', 'Year 2001', 'Year 2002', 'Year 2003', 'Year 2004', 'Year 2005'}
@attribute 'Road Class' {Motorway, 'A(M)', A, B, C, Unclassified}
@attribute 'Speed Limit' {20, 30, 40, 50, 60, 70}
@attribute 'Junction Detail' {'Not a junction', Roundabout, 'Mini-roundabout', 'T,Y or staggered road', 'Slip road', Crossroads, 'Multiple juncion', 'Private drive or entrance', Other}
@attribute 'Day/Night?' {Day, Night}
@attribute 'Light Condition' {'lights lit', 'lights unlit', 'no lighting', 'lighting unknown'}
@attribute 'Weather Condition' {Fine, Raining, Snowing, 'Fog or mist', Other, Unknown}
@attribute 'High winds?' {Yes, No, Unknown}
@attribute 'Casualty Class' {'Driver or rider', Passenger, Pedestrian}
@attribute 'Sex of Casualty' {Male, Female}
@attribute 'Age of Casualty' real
@attribute 'Severity of Casualty' {Fatal, Serious}

@data
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Male,55,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Female,21,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,23,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,'Driver or rider',Female,80,Serious
'Year 2000',A,30,'T,Y or staggered road',Day,'lights lit',Fine,No,Passenger,Female,87,Serious
'Year 2000',B,40,'Not a junction',Night,'lights lit',Fine,No,'Driver or rider',Male,37.0,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,17,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,'Driver or rider',Male,43,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Raining,No,Passenger,Female,6,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Pedestrian,Female,60,Serious
'Year 2000',A,60,Roundabout,Day,'lights lit',Raining,No,'Driver or rider',Male,49,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,73,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,58,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,67,Serious
'Year 2000',A,60,'Not a junction',Day,'lighting unknown',Fine,No,'Driver or rider',Male,43,Serious
'Year 2000',Unclassified,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Female,21,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,42,Serious
'Year 2000',A,60,Other,Night,'no lighting',Fine,No,'Driver or rider',Female,48,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Female,54,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,Passenger,Male,32,Serious
'Year 2000',A,60,Crossroads,Day,'no lighting',Raining,No,'Driver or rider',Female,50,Serious
'Year 2000',A,60,Crossroads,Day,'no lighting',Raining,No,'Driver or rider',Female,56,Serious
'Year 2000',B,30,'Not a junction',Day,'lights lit',Fine,No,'Driver or rider',Male,36,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,58,Fatal
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Male,42,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Raining,No,'Driver or rider',Female,45,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Other,Unknown,'Driver or rider',Male,24,Serious
'Year 2000',A,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,37.0,Fatal
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,'Driver or rider',Male,29,Serious
'Year 2000',A,60,'T,Y or staggered road',Day,'no lighting',Fine,No,Passenger,Male,28,Serious
'Year 2000',B,60,Other,Night,'lights lit',Fine,No,Pedestrian,Female,10,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,20.0,Serious
'Year 2000',A,30,'Not a junction',Night,'lighting unknown',Fine,No,'Driver or rider',Male,18,Serious
'Year 2000',Unclassified,60,'Private drive or entrance',Day,'no lighting',Fine,No,'Driver or rider',Male,50,Fatal
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,'Driver or rider',Male,27,Serious
'Year 2000',Unclassified,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,33,Serious
'Year 2000',Unclassified,30,Other,Day,'lights lit',Fine,No,'Driver or rider',Male,21,Serious
'Year 2000',A,60,'Not a junction',Day,'no lighting',Fine,No,Passenger,Female,18,Fatal
'Year 2000',Unclassified,30,'Not a junction',Day,'lights lit',Fine,No,Pedestrian,Female,7,Serious
'Year 2000',A,60,'Not a junction',Day,'lights lit',Raining,No,'Driver or rider',Female,23,Serious
'Year 2000',B,60,'Not a junction',Night,'no lighting',Fine,No,'Driver or rider',Male,43,Serious
'Year 2000',A,40,'T,Y or staggered road',Night,'no lighting',Raining,Yes,'Driver or rider',Female,58,Serious
